dim blocks threads naive shared
600 60 28 0.172032 0.199680
600 60 32 0.157248 0.200704
600 70 4 0.142336 0.201728
600 70 8 0.090112 0.092160
600 70 12 0.165760 0.206848
600 70 16 0.177792 0.182272
600 70 20 0.162816 0.195584
600 70 24 0.161216 0.199680
600 70 28 0.162816 0.199680
600 70 32 0.161664 0.199680
600 80 4 0.130048 0.179200
600 80 8 0.090112 0.104448
600 80 12 0.181216 0.205824
600 80 16 0.167936 0.165888
600 80 20 0.162144 0.178176
600 80 24 0.162688 0.184320
600 80 28 0.161088 0.202752
600 80 32 0.158240 0.193536
600 90 4 0.127712 0.164864
600 90 8 0.089536 0.091136
600 90 12 0.174048 0.186368
600 90 16 0.158176 0.179200
600 90 20 0.162304 0.190464
600 90 24 0.162144 0.184320
600 90 28 0.162176 0.197632
600 90 32 0.160288 0.207872
600 100 4 0.116032 0.153600
600 100 8 0.091136 0.092160
600 100 12 0.171648 0.174080
600 100 16 0.162688 0.178176
600 100 20 0.165536 0.187392
600 100 24 0.159392 0.183296
600 100 28 0.165472 0.193536
600 100 32 0.158720 0.195584
700 10 4 0.966368 1.557504
700 10 8 0.290368 0.445440
700 10 12 0.243712 0.331776
700 10 16 0.233472 0.297984
700 10 20 0.228352 0.264192
700 10 24 0.232928 0.261120
700 10 28 0.224736 0.259072
700 10 32 0.217088 0.273408
700 20 4 0.491168 0.785408
700 20 8 0.183680 0.266240
700 20 12 0.238592 0.248832
700 20 16 0.230944 0.245760
700 20 20 0.225280 0.245760
700 20 24 0.253376 0.329728
700 20 28 0.229376 0.261120
700 20 32 0.222208 0.292864
700 30 4 0.360320 0.556032
700 30 8 0.150976 0.209920
700 30 12 0.233184 0.238592
700 30 16 0.228000 0.232448
700 30 20 0.232288 0.315392
700 30 24 0.226656 0.249856
700 30 28 0.229280 0.265216
700 30 32 0.219136 0.272384
700 40 4 0.275456 0.415744
700 40 8 0.135040 0.169984
700 40 12 0.234496 0.233472
700 40 16 0.226656 0.227328
700 40 20 0.227328 0.248832
700 40 24 0.242688 0.266240
700 40 28 0.225696 0.263168
700 40 32 0.216064 0.267264
700 50 4 0.244480 0.352256
700 50 8 0.130048 0.144384
700 50 12 0.235520 0.235520
700 50 16 0.238592 0.303136
700 50 20 0.224192 0.276480
700 50 24 0.217888 0.273408
700 50 28 0.228352 0.269312
700 50 32 0.213376 0.264192
700 60 4 0.207392 0.312320
700 60 8 0.128800 0.136192
700 60 12 0.230752 0.236544
700 60 16 0.227328 0.288768
700 60 20 0.228352 0.247808
700 60 24 0.217088 0.253952
700 60 28 0.224704 0.273408
700 60 32 0.214432 0.277504
700 70 4 0.197632 0.281600
700 70 8 0.128000 0.130048
700 70 12 0.227168 0.249856
700 70 16 0.224928 0.252928
700 70 20 0.226720 0.235520
700 70 24 0.226176 0.250880
700 70 28 0.220160 0.268288
700 70 32 0.212896 0.267264
700 80 4 0.176128 0.245760
700 80 8 0.126656 0.129024
700 80 12 0.257792 0.269312
700 80 16 0.222752 0.227328
700 80 20 0.232352 0.238592
700 80 24 0.222912 0.246784
700 80 28 0.216064 0.265216
700 80 32 0.212288 0.272384
700 90 4 0.163328 0.224256
700 90 8 0.126592 0.128000
700 90 12 0.225696 0.241664
700 90 16 0.217408 0.233472
700 90 20 0.222112 0.254976
700 90 24 0.216640 0.249856
700 90 28 0.216064 0.269312
700 90 32 0.218112 0.261120
700 100 4 0.155296 0.210944
700 100 8 0.126528 0.128000
700 100 12 0.246464 0.247808
700 100 16 0.229920 0.247808
700 100 20 0.226304 0.251904
700 100 24 0.216064 0.246784
700 100 28 0.218592 0.271360
700 100 32 0.219136 0.264192
800 10 4 1.266496 2.034688
800 10 8 0.377504 0.578560
800 10 12 0.317440 0.431104
800 10 16 0.285056 0.377856
800 10 20 0.283488 0.346112
800 10 24 0.288544 0.356352
800 10 28 0.294304 0.348160
800 10 32 0.277504 0.348160
800 20 4 0.656384 1.031168
800 20 8 0.238912 0.351232
800 20 12 0.292864 0.313344
800 20 16 0.279968 0.326656
800 20 20 0.281536 0.312320
800 20 24 0.311616 0.417792
800 20 28 0.289760 0.331776
800 20 32 0.279168 0.348160
800 30 4 0.475648 0.707584
800 30 8 0.197120 0.279552
800 30 12 0.290624 0.304128
800 30 16 0.281216 0.282624
800 30 20 0.285216 0.389120
800 30 24 0.280928 0.316416
800 30 28 0.282624 0.335872
800 30 32 0.283040 0.350208
800 40 4 0.377216 0.543744
800 40 8 0.169920 0.226304
800 40 12 0.291680 0.295936
800 40 16 0.282432 0.287744
800 40 20 0.285376 0.308224
800 40 24 0.306816 0.326656
800 40 28 0.287744 0.330752
800 40 32 0.279552 0.337920
800 50 4 0.327424 0.455680
800 50 8 0.153376 0.187392
800 50 12 0.291840 0.299008
800 50 16 0.275968 0.356352
800 50 20 0.295936 0.352256
800 50 24 0.277504 0.325632
800 50 28 0.291488 0.330752
800 50 32 0.269984 0.342016
800 60 4 0.282624 0.408576
800 60 8 0.152544 0.172032
800 60 12 0.290720 0.295936
800 60 16 0.280160 0.327680
800 60 20 0.284672 0.315392
800 60 24 0.283552 0.309248
800 60 28 0.286464 0.336896
800 60 32 0.270336 0.337920
800 70 4 0.267808 0.361472
